sector,link,Ministry/Organization Name,id
"Finance, Banking & Insurance",https://nhb.org.in,National Housing Bank (NHB),0
"Finance, Banking & Insurance",https://notary.gov.in,Notary Portal,1
"Finance, Banking & Insurance",https://www.gicre.in,General Insurance Corporation of India (GIC),2
"Finance, Banking & Insurance",https://odishatax.gov.in,"Commissionerate of CT and GST, Odisha",3
"Finance, Banking & Insurance",https://incometaxgujarat.gov.in,"Income Tax Department, Gujarat Region",5
"Finance, Banking & Insurance",https://www.fingate.gov.in,FINGate 2.0,6
"Finance, Banking & Insurance",https://www.icegate.gov.in,ICEGATE-Indian Customs National Trade Portal,7
"Finance, Banking & Insurance",https://goabudget.gov.in,"Goa Budget, Department of Finance, Goa",8
"Finance, Banking & Insurance",https://www.mahakosh.gov.in,"Integrated Financial Management System (IFMS) - Mahakosh, Maharashtra",9
"Finance, Banking & Insurance",https://www.ifciltd.com,Industrial Finance Corporation of India (IFCI),10
"Finance, Banking & Insurance",https://www.pppinindia.gov.in,Public Private Partnerships in India (PPP),11
"Finance, Banking & Insurance",https://pt.kar.nic.in,"e - PRERANA, Professional Tax e-Filing System, Karnataka",12
"Finance, Banking & Insurance",https://tntenders.gov.in,"eProcurement System, Tamil Nadu",13
"Finance, Banking & Insurance",https://www.ashtalakshmimahotsav.com,Ashtalakshmi Mahotsav,14
"Finance, Banking & Insurance",https://gstkarnataka.gov.in,"Principal Chief Commissioner of Central Tax, Bengaluru Zone Karnataka",15
"Finance, Banking & Insurance",https://pensionersportal.gov.in/anubhav,Anubhav Portal,16
"Finance, Banking & Insurance",https://mmscmsguy.assam.gov.in,"Chief Minister Samagra Gramya Unnayan Yojana,  Assam",17
"Finance, Banking & Insurance",https://mahatenders.gov.in,"eProcurement System, Maharashtra",18
"Finance, Banking & Insurance",https://mahagst.gov.in,"Goods and Services Tax Department, Maharashtra",19
"Finance, Banking & Insurance",https://taxes.tripura.gov.in,"Commissionerate of Taxes and Excise, Tripura",20
"Finance, Banking & Insurance",https://ceib.gov.in,Central Economic Intelligence Bureau (CEIB),21
"Finance, Banking & Insurance",https://cgstkolkata.gov.in,"Central Goods and Services Tax Zone (CGST), Kolkata",22
"Finance, Banking & Insurance",https://ahmedabadcustoms.gov.in,Ahmedabad Customs,23
"Finance, Banking & Insurance",https://cag.gov.in/icisa/en,International Centre for Information Systems and Audit (iCISA),24
"Finance, Banking & Insurance",https://spfo.gov.in,Seamens Provident Fund Organisation,25
"Finance, Banking & Insurance",https://ifsl.mizoram.gov.in,"Institutional Finance and State Lottery, Mizoram",27
"Finance, Banking & Insurance",https://www.irdai.gov.in,Insurance Regulatory and Development Authority (IRDA),28
"Finance, Banking & Insurance",https://upexciseelottery.upsdc.gov.in,"UP Excise E-Lottery Portal, Uttar Pradesh",29
"Finance, Banking & Insurance",https://gstindore.gov.in,"Customs, Central Excise and Service Tax Commissionerate, Indore",31
"Finance, Banking & Insurance",https://cexraipur.gov.in,"Central Excise and Customs, Commissionerate, Raipur",32
"Finance, Banking & Insurance",https://caaa.gov.in,"Aid Accounts and Audit Division, New Delhi",33
"Finance, Banking & Insurance",https://dpe.gov.in,Department of Public Enterprises,34
"Finance, Banking & Insurance",https://subhadra.odisha.gov.in,"SUBHADRA Yojana, Odisha",35
"Finance, Banking & Insurance",https://jkfcr.nic.in,"Financial Commissioner Revenue, Jammu and Kashmir",36
"Finance, Banking & Insurance",https://finance.jharkhand.gov.in/jegras,"e-GRAS Online Government Receipts Accounting System, Jharkhand",37
"Finance, Banking & Insurance",https://bharatkosh.gov.in,"Non-Tax Receipt Portal (NTRP), Controller General of Accounts",39
"Finance, Banking & Insurance",https://tender.apeprocurement.gov.in,"ap-eProcurement, eGP Portal - Tenders, Andhra Pradesh",40
"Finance, Banking & Insurance",https://www.tnhorticulture.tn.gov.in,"Horticulture and Plantation Crops Department, Tamil Nadu",41
"Finance, Banking & Insurance",https://www.nedfi.com,"North Eastern Development Finance Corporation (NEDFI), Guwahati",43
"Finance, Banking & Insurance",https://gujecostat.gujarat.gov.in,"Directorate of Economics and Statistics, Gujarat",44
"Finance, Banking & Insurance",https://comtax.cg.nic.in,"Commercial Tax and Excise Department Department, Chhattisgarh",45
"Finance, Banking & Insurance",https://etenders.hry.nic.in,"eProcurement System, Haryana",47
"Finance, Banking & Insurance",https://finance.delhi.gov.in,"Finance Department, Delhi",48
"Finance, Banking & Insurance",https://amritsarcustoms.gov.in,"Customs Commissionerate Preventive, Amritsar",49
"Finance, Banking & Insurance",https://gstdelhizone.gov.in/south/index-south.php,"Goods and Services Tax Commissionerate (GST), Delhi South",50
"Finance, Banking & Insurance",https://msrtc.maharashtra.gov.in,"Maharashtra State Road Transport Corporation, Maharashtra",51
"Finance, Banking & Insurance",https://www.lichousing.com,LIC Housing Finance Limited,52
"Finance, Banking & Insurance",https://www.incometax.gov.in/iec/foportal,Income Tax e - Filing,53
"Finance, Banking & Insurance",https://gstmumbai.gov.in,"Goods and Service Tax and Central Excise Commissionerate (GST), Mumbai Zone",54
"Finance, Banking & Insurance",https://giftgujarat.in,"Gujarat International Finance Tec-City Company Limited (GIFT), Gujarat",55
"Finance, Banking & Insurance",https://manipurvat.gov.in,"Taxes Department, Manipur",56
"Finance, Banking & Insurance",https://nhfdc.nic.in,National Handicapped Finance and Development Corporation (NHFDC),57
"Finance, Banking & Insurance",https://dbt.lsgkerala.gov.in,"SevanaPension Direct To Home Module, Kerala",58
"Finance, Banking & Insurance",https://lad.hp.gov.in,"Himachal Pradesh State Audit Department, Himachal Pradesh",59
"Finance, Banking & Insurance",https://paogref.nic.in,"Pay Accounts Office (GREF-Dighi Camp), Pune",60
"Finance, Banking & Insurance",https://www.pfrda.org.in,Pension Fund Regulatory and Development Authority (PFRDA),61
"Finance, Banking & Insurance",https://ppptg.cgg.gov.in,"Public Private Partnerships (PPP), Telangana, Andhra Pradesh",62
"Finance, Banking & Insurance",https://goaf.gov.in,Chief Controller of Factories,64
"Finance, Banking & Insurance",https://www.tn.gov.in/karuvoolam/whatsnew.html,"Treasuries and Accounts Department, Tamil Nadu",65
"Finance, Banking & Insurance",https://hptenders.gov.in,"eProcurement System, Himachal Pradesh",66
"Finance, Banking & Insurance",https://www.naa.gov.in,National Anti-profiteering Authority (NAA),67
"Finance, Banking & Insurance",https://crcl.gov.in,"Central Revenues Control Laboratory, CBEC",68
"Finance, Banking & Insurance",https://ctax.jharkhand.gov.in,"Department of Commercial Taxes, Jharkhand",69
"Finance, Banking & Insurance",https://khajane.karnataka.gov.in,"Department of Treasuries, Karnataka",70
"Finance, Banking & Insurance",https://tin.tin.nsdl.com/oltas,"OLTAS - Challan Status Inquiry, Income Tax Department",72
"Finance, Banking & Insurance",https://meggst.gov.in,"Taxation Department, Meghalaya",73
"Finance, Banking & Insurance",https://gepg.nic.in,Government of India e-Payment Gateway (GePG),74
"Finance, Banking & Insurance",https://cgstappealsjaipur.gov.in,"Office of The Commissioner (Appeals), CGST, Jaipur",75
"Finance, Banking & Insurance",https://nacin.gov.in,"National Academy of Customs, Indirect Taxes and Narcotics (NACIN), Faridabad",76
