sector,organization_link,result_count,link,text
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://nhb.org.in,National Housing Bank (NHB)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://notary.gov.in,Notary Portal
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.gicre.in,General Insurance Corporation of India (GIC)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://odishatax.gov.in,"Commissionerate of CT and GST, Odisha"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in/website_policies,Website Policies
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://incometaxgujarat.gov.in,"Income Tax Department, Gujarat Region"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.fingate.gov.in,FINGate 2.0
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.icegate.gov.in,ICEGATE-Indian Customs National Trade Portal
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://goabudget.gov.in,"Goa Budget, Department of Finance, Goa"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.mahakosh.gov.in,"Integrated Financial Management System (IFMS) - Mahakosh, Maharashtra"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.ifciltd.com,Industrial Finance Corporation of India (IFCI)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.pppinindia.gov.in,Public Private Partnerships in India (PPP)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://pt.kar.nic.in,"e - PRERANA, Professional Tax e-Filing System, Karnataka"
