requestedUrl,finalUrl,category,name,title,type,score
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","performance-score","Overall Performance Category Score","numeric","0.37"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","first-contentful-paint","First Contentful Paint","numeric","0"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","interactive","Time to Interactive","numeric","0"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","speed-index","Speed Index","numeric","0.01"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","total-blocking-time","Total Blocking Time","numeric","0.74"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.03"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","uses-responsive-images","Properly size images","numeric","0.88"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","unminified-css","Minify CSS","numeric","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","unminified-javascript","Minify JavaScript","numeric","0.39"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","unused-css-rules","Reduce unused CSS","numeric","0.88"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","unused-javascript","Reduce unused JavaScript","numeric","0"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","modern-image-formats","Serve images in next-gen formats","numeric","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","uses-text-compression","Enable text compression","numeric","0"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","server-response-time","Initial server response time was short","binary","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","uses-http2","Use HTTP/2","numeric","0"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","0.88"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","total-byte-weight","Avoid enormous network payloads","numeric","0.15"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","uses-long-cache-ttl","Serve static assets with an efficient cache policy","numeric","0"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","bootup-time","JavaScript execution time","numeric","0.96"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","mainthread-work-breakdown","Minimizes main-thread work","numeric","0.95"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","font-display","All text remains visible during webfont loads","binary","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","third-party-summary","Minimize third-party usage","notApplicable","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","notApplicable","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","layout-shift-elements","Avoid large layout shifts","notApplicable","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","no-document-write","Avoids `document.write()`","binary","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","unsized-images","Image elements do not have explicit `width` and `height`","binary","0"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","no-unload-listeners","Avoids `unload` event listeners","binary","1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","performance-budget","Performance budget","notApplicable","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","network-requests","Network Requests","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","network-rtt","Network Round Trip Times","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","main-thread-tasks","Tasks","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","diagnostics","Diagnostics","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","metrics","Metrics","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","final-screenshot","Final Screenshot","informative","-1"
"https://notary.gov.in/Welcome/register","https://notary.gov.in/Welcome/register","Performance","script-treemap-data","Script Treemap Data","informative","-1"
