requestedUrl,finalUrl,category,name,title,type,score
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","performance-score","Overall Performance Category Score","numeric","0.91"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","first-contentful-paint","First Contentful Paint","numeric","0.71"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","interactive","Time to Interactive","numeric","0.98"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","speed-index","Speed Index","numeric","0.9"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.8"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.98"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","max-potential-fid","Max Potential First Input Delay","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.88"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.45"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","unminified-css","Minify CSS","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","unminified-javascript","Minify JavaScript","numeric","0.86"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","unused-css-rules","Reduce unused CSS","numeric","0.86"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.49"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","modern-image-formats","Serve images in next-gen formats","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","uses-text-compression","Enable text compression","numeric","0.47"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","server-response-time","Initial server response time was short","binary","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","uses-http2","Use HTTP/2","numeric","0.99"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","total-byte-weight","Avoids enormous network payloads","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","uses-long-cache-ttl","Serve static assets with an efficient cache policy","numeric","0.05"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","bootup-time","JavaScript execution time","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","mainthread-work-breakdown","Minimizes main-thread work","numeric","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","font-display","Ensure text remains visible during webfont load","binary","0"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","third-party-summary","Minimize third-party usage","binary","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","notApplicable","-1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","layout-shift-elements","Avoid large layout shifts","informative","-1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","no-document-write","Avoid `document.write()`","binary","0"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://notary.gov.in/contact-us","https://notary.gov.in/contact-us","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
