requestedUrl,finalUrl,category,name,title,type,score
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","performance-score","Overall Performance Category Score","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","first-contentful-paint","First Contentful Paint","numeric","0.99"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","interactive","Time to Interactive","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","speed-index","Speed Index","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.99"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","max-potential-fid","Max Potential First Input Delay","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","first-meaningful-paint","First Meaningful Paint","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.68"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","unminified-css","Minify CSS","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","unused-javascript","Reduce unused JavaScript","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.88"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","server-response-time","Initial server response time was short","binary","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","preload-lcp-image","Preload Largest Contentful Paint image","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","total-byte-weight","Avoids enormous network payloads","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","uses-long-cache-ttl","Serve static assets with an efficient cache policy","numeric","0.61"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://notary.gov.in/notary-notice","https://notary.gov.in/notary-notice","Performance","bootup-time","JavaScript execution time","numeric","1"
