requestedUrl,finalUrl,category,name,title,type,score
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","performance-score","Overall Performance Category Score","numeric","0.31"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","first-contentful-paint","First Contentful Paint","numeric","0.08"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","interactive","Time to Interactive","numeric","0"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","speed-index","Speed Index","numeric","0"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","total-blocking-time","Total Blocking Time","numeric","0.89"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.23"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.69"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.04"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.07"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","uses-responsive-images","Properly size images","numeric","0.43"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","offscreen-images","Defer offscreen images","numeric","0.5"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","unminified-css","Minify CSS","numeric","0.84"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","unminified-javascript","Minify JavaScript","numeric","0.36"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","unused-css-rules","Reduce unused CSS","numeric","0.34"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","unused-javascript","Reduce unused JavaScript","numeric","0"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","uses-optimized-images","Efficiently encode images","numeric","0.84"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","uses-text-compression","Enable text compression","numeric","0"
"https://odishatax.gov.in/ogst_notification.php","https://odishatax.gov.in/ogst_notification.php","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","0.74"
