requestedUrl,finalUrl,category,name,title,type,score
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","performance-score","Overall Performance Category Score","numeric","0.81"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","first-contentful-paint","First Contentful Paint","numeric","0.67"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","interactive","Time to Interactive","numeric","0.88"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","speed-index","Speed Index","numeric","0.93"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.43"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.86"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.86"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.67"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","uses-responsive-images","Properly size images","numeric","0.61"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","unminified-css","Minify CSS","numeric","1"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","unused-css-rules","Reduce unused CSS","numeric","0.75"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.45"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","uses-optimized-images","Efficiently encode images","numeric","0.71"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.36"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","server-response-time","Initial server response time was short","binary","1"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://odishatax.gov.in/screen_reader.html","https://odishatax.gov.in/screen_reader.html","Performance","uses-http2","Use HTTP/2","numeric","0.32"
