sector,organization_link,result_count,link,text,has_robots_txt
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://nhb.org.in,National Housing Bank (NHB),False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://notary.gov.in,Notary Portal,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.gicre.in,General Insurance Corporation of India (GIC),True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://odishatax.gov.in,"Commissionerate of CT and GST, Odisha",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in/website_policies,Website Policies,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://incometaxgujarat.gov.in,"Income Tax Department, Gujarat Region",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.fingate.gov.in,FINGate 2.0,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.icegate.gov.in,ICEGATE-Indian Customs National Trade Portal,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://goabudget.gov.in,"Goa Budget, Department of Finance, Goa",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.mahakosh.gov.in,"Integrated Financial Management System (IFMS) - Mahakosh, Maharashtra",True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.ifciltd.com,Industrial Finance Corporation of India (IFCI),False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.pppinindia.gov.in,Public Private Partnerships in India (PPP),True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://pt.kar.nic.in,"e - PRERANA, Professional Tax e-Filing System, Karnataka",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://tntenders.gov.in,"eProcurement System, Tamil Nadu",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.ashtalakshmimahotsav.com,Ashtalakshmi Mahotsav,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gstkarnataka.gov.in,"Principal Chief Commissioner of Central Tax, Bengaluru Zone Karnataka",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://pensionersportal.gov.in/anubhav,Anubhav Portal,True
